words,nos,translation
ūær,6360,You
mikiđ,6296,great
finnst,6270,feel
þig,6253,you
fariđ,6246,travel
láttu,6205,let
getum,6177,can
niđur,6143,niche
Jæja,6095,well
hefđi,6091,have
gķđur,5924,god
hingađ,5901,here
meira,5872,more
Fyrirgefđu,5859,i am sorry
vildi,5783,wanted
segir,5782,says
taka,5740,take
ađeins,5683,only
mun,5675,will
áđur,5662,All
satt,5643,true
veist,5604,know
fjandinn,5547,damn
segđu,5517,say
eitt,5482,one
vertu,5453,be
ūessa,5451,this
hvert,5442,where
voru,5415,were
elskan,5391,Darling
alla,5383,all
halda,5341,maintain
vill,5287,wants
öll,5263,all
myndi,5228,would
gerđu,5199,do
einu,5192,one
gerir,5174,does
fram,5153,front
hvort,5153,which
láta,5133,let
kvöld,5129,evening
ūitt,5123,you
ykkar,5099,yours
sagt,5071,said
hættu,5066,stop
hefurđu,5044,has
verđum,5024,protest
hélt,4995,thought
því,4984,because
vilt,4981,want
annađ,4977,otherwise
fķr,4966,completed
alveg,4958,altogether
hennar,4940,her
fķlk,4927,people
hr,4879,hold
ár,4879,year
stađ,4832,walk
sjáđu,4829,see
vinur,4782,friend
leiđ,4781,means
Hæ,4776,Hi
verđa,4754,become
Ķ,4736,Ķ
eina,4666,one
gerđi,4480,dating
geri,4455,difficult
séđ,4445,can
menn,4430,men
sinni,4410,forward
mína,4369,My
hvađa,4368,what
neitt,4305,anything
ætti,4296,should
reyna,4279,try
Hallķ,4277,Hall
gaman,4270,fun
hvers,4270,whose
þá,4215,then
vissi,4207,knew
skil,4161,understand
langar,4154,wants
finna,4128,find
elska,4113,love
auđvitađ,4056,aulent
vinna,4053,work
án,4010,with out
drepa,3916,kill
undir,3906,beneath
eruđ,3898,are
ūessum,3893,this
mínum,3868,my
áttu,3862,do you have
öllum,3856,all
síđan,3851,filtered
strax,3827,immediately
frábært,3825,great
ūeirra,3824,your
eigum,3812,own
hugsa,3794,think
engin,3794,Noone
einmitt,3743,exactly
morgun,3732,morning
fimm,3717,five
viss,3713,sure
taktu,3713,take
alvöru,3679,real
ūína,3674,yours
kem,3594,come
fékk,3590,got
gengur,3588,walks
varst,3583,were
Jú,3574,Yes
ūennan,3554,you
ná,3515,gain
leitt,3515,sorry
átti,3491,had
ūannig,3473,right
lengi,3444,long time
geturđu,3425,can
lengur,3412,longer
þið,3402,you
sæll,3391,joyful
frú,3391,miss
ūarft,3382,as
haltu,3362,Hold
heldurđu,3353,but
segi,3333,say
komast,3331,penetrate
Heyrđu,3328,Hear
gķđa,3326,go
fyrsta,3310,first
betur,3297,better
hvenær,3292,when
vilja,3284,want
eiga,3282,keep
hitta,3277,encounter
lífi,3251,live
öllu,3221,all
fyrst,3214,first
kominn,3209,arrived
ūykir,3192,you
inni,3185,inside
ára,3179,years
einhvern,3177,someone
burt,3164,away
áhyggjur,3155,worry
víst,3119,wish
mann,3107,man
hjálpa,3088,aid
daginn,3061,day
geta,3045,ability
varđ,3035,assumed
handa,3021,for
ūangađ,3019,while
sinn,3012,his
gķđ,3010,god
gerđist,3003,unite
þeir,2994,they
a,2993,a
ūurfum,2976,we need
virđist,2969,seem
ūínum,2968,yours
máliđ,2947,issue
illa,2939,badly
ein,2937,alone
mál,2909,measure
hægt,2905,possible
nema,2896,except
ao,2882,ao
ættir,2864,should
hafđi,2861,has
ætlarđu,2841,plan
minni,2837,remembrance
komum,2824,come
fyrr,2784,before
nķtt,2777,enjoyed
sjálfur,2753,self
tveir,2729,two
líf,2708,life
héđan,2703,headed
leita,2693,search
heiti,2693,name
líđur,2672,feels
búinn,2668,exhausted
heima,2661,home
gegn,2658,versus
gerum,2627,bribes
samt,2616,however
þegar,2609,when
Jack,2608,Jack
nķg,2603,nķg
langt,2582,far
tvö,2567,two
engar,2563,no
erfitt,2555,difficult
vorum,2552,were
ferđ,2527,travel
bless,2520,goodbye
annars,2520,else
mátt,2506,must
mínu,2502,my
hætta,2475,cease
fengiđ,2457,get
enga,2444,none
gangi,2442,walk
mömmu,2429,mom
vantar,2423,missing
hve,2421,how
skiptir,2412,matters
tekur,2402,takes
hafiđ,2401,has
gefa,2400,donate
i,2396,i
hugmynd,2388,idea
deyja,2386,expire
gat,2365,could
hlũtur,2358,will
fann,2354,found
fjandans,2353,damn
heitir,2345,called
mínútur,2340,minutes
heyra,2337,hear
stundum,2333,sometimes
fær,2323,competent
klukkan,2320,the clock
fæ,2313,get
haldiđ,2301,held
flott,2299,cool
spyrja,2289,question
máli,2285,meaning
gerast,2279,happen
allan,2273,all
ætlar,2272,is going to
alls,2263,all
sex,2255,six
líklega,2255,probably
mínir,2248,mine
trúi,2246,believe
nota,2245,use
sért,2244,been
verður,2240,must
hvern,2240,whom
lítur,2235,looks
fínt,2232,fine
hjálp,2230,aid
komst,2224,come
ganga,2217,course
fleiri,2195,more
allar,2193,all
orđiđ,2185,word
fađir,2182,fae
tíu,2182,ten
gerist,2176,happens
nokkuđ,2175,something
besta,2164,the best
úti,2141,outside
þessu,2129,this
stendur,2126,stands
sjáumst,2126,see you later
verið,2124,been
baka,2112,bake
uppi,2110,upstairs
tķk,2110,tķk
ha,2108,ha
sæl,2106,Hello
tvær,2096,two
sagđir,2085,said
fannst,2083,thought
međan,2081,among
líkar,2078,similar
manni,2066,man
virkilega,2060,really
kann,2057,knows
jafnvel,2043,even
smá,2031,a little
værir,2022,would
pú,2019,you
eigin,2002,own
hey,1998,hay
New,1991,New
man,1989,man
sũna,1983,part
milli,1982,between
daga,1981,dawn
byrja,1980,start
varstu,1979,Were you
tvo,1973,two
næstum,1972,almost
Afsakiđ,1971,Apologize
pabba,1970,dad
segirđu,1966,Says
Afsakađu,1965,Apologize
frekar,1951,rather
ūinni,1945,your
gegnum,1939,through
eða,1938,or
manstu,1936,remember
hringja,1936,ring
ættum,1931,should
árum,1927,years
hluti,1922,portion
sonur,1919,son
heyrt,1919,heard
látiđ,1918,ignorance
betra,1916,better
mađurinn,1896,responsive
John,1891,John
ūķtt,1883,ķtt
skiliđ,1878,return
kona,1873,character
gķđan,1870,God
þau,1870,they
komin,1869,arrived
skilurđu,1867,divorce
konan,1861,the woman
meina,1861,mean
eitthvað,1857,something
strákar,1857,boys
engan,1854,no one
hátt,1852,loud
sérđu,1849,see
vitum,1837,knowledge
tími,1834,time
ķkei,1833,Nope
annan,1832,another
vinir,1831,friends
litla,1831,small
undan,1825,before
kemst,1824,arrive
sú,1823,that
beint,1819,straight
færđ,1818,country
hverjum,1812,who
ūekki,1808,you don't
borđa,1805,drill
kalla,1803,call
horfa,1793,watch
ūķ,1787,you
utan,1787,outside
búiđ,1781,living
tekiđ,1775,accepted
verđi,1774,being
gætir,1773,could
leyfđu,1772,Allow
hversu,1769,how
konu,1763,woman
bílinn,1761,car
miklu,1759,much
hefđir,1755,tradition
dálítiđ,1750,quiet
hví,1749,simplicity
orđ,1746,word
helvítis,1744,damn
tilbúinn,1744,synthetic
ūessari,1743,this
bíđa,1737,Worth
skulum,1720,shall
reyndar,1718,actually
ú,1717,u
Jesús,1715,Jesus
myndir,1711,pictures
ūũđir,1709,others
varlega,1709,carefully
engu,1706,no
annar,1704,second
tek,1703,teak
viku,1702,week
átta,1702,eight
hafđu,1701,had
félagi,1700,companion
maður,1697,man
skjķta,1694,shoot
nķgu,1691,enough
finn,1689,feels
grínast,1689,joking
börn,1684,children
hlustađu,1683,listen
kyrr,1678,still
ad,1673,etc
meiri,1670,more
fáum,1666,get
nafn,1664,name
peninga,1662,money
pao,1654,pao
strákur,1641,boy
seinna,1639,afterwards
andskotinn,1637,damn it
lokiđ,1635,valve
York,1634,York
borga,1619,pay
ætlađi,1610,intention
barn,1599,child
eiginlega,1596,actually
sjáiđ,1595,see
ūínu,1588,yours
hamingju,1583,happiness
brķđir,1580,brothers
sína,1577,show
skilja,1574,understand
slepptu,1571,drop
nær,1566,closer
búin,1552,done
yrđi,1552,would
sagði,1548,said
mynd,1543,print
svolítiđ,1542,quite
settu,1539,put
næsta,1537,next
petta,1535,point
betri,1534,better
viljum,1528,want
burtu,1527,away
fallegt,1524,beautiful
miđur,1523,mid
ūegiđu,1521,your
best,1514,best
dali,1512,valley
hafir,1509,has
hlusta,1509,listen
síđasta,1505,last
vona,1505,hope
geti,1504,may
ūúsund,1503,a thousand
margir,1502,many
frábær,1501,great
skrifa,1496,write
vonandi,1493,hopefully
oft,1493,often
fröken,1492,miss
gerđir,1491,features
hug,1489,mind
dr,1488,dr
bjarga,1483,rescue
ræđa,1480,talk
kenna,1476,teach
náđi,1474,took
Ū,1474,Ū
hinn,1472,the other
lét,1472,","
nũja,1469,use
von,1469,hope
reyndi,1464,tried
sínum,1464,their
ūrír,1458,year
séu,1453,be
hræddur,1453,afraid
ūessar,1451,this
læt,1451,let
Ja,1440,Yes
bílnum,1437,the car
gætum,1430,guard
setja,1429,set
sofa,1429,sleep
lítiđ,1427,time
lifa,1425,live
reyndu,1419,try
ađra,1417,friendly
þeim,1417,them
þarna,1412,there
sendi,1410,send
konur,1409,women
gaf,1407,gave
slæmt,1407,bad
tilbúin,1402,ready
öđrum,1400,among
tækifæri,1398,chance
búa,1395,reside
síđar,1394,filter
þar,1391,there
líta,1389,look
mistök,1386,mistake
næst,1385,next
sækja,1382,get
örugglega,1380,indeed
fáđu,1377,get
sjö,1376,seven
bjķđa,1374,offer
rķlegur,1372,pleasant
mínar,1372,mine
gefđu,1371,donate
vini,1366,friends
nokkur,1362,some
skilur,1361,understands
stađar,1361,stakes
tķkst,1358,apparently
talar,1356,speaks
peningana,1352,money
þarf,1350,need
fjárinn,1349,money
lætur,1347,lets
sestu,1346,sit
nálægt,1342,near
ætlum,1336,plan
talađ,1331,talk
skipti,1327,exchange
gekk,1324,walked
sagđirđu,1324,said
margt,1318,many
vio,1316,vio
gamla,1313,old
þess,1304,it/that
standa,1302,stand
vinnur,1301,works
færđu,1299,go
falleg,1295,beautiful/lovely
Vá,1295,Wow
húsiđ,1292,house
líttu,1292,color
sagđist,1291,said
ungfrú,1288,miss
ūekkir,1288,thanks
varla,1274,hardly
farinn,1273,gone
hringi,1270,call
sko,1269,shoe
samband,1268,liaison
föđur,1265,depart
aõ,1264,aõ
minna,1263,less
augnablik,1262,moment
Almáttugur,1259,Almighty
sæti,1252,seat
lífiđ,1252,life
heyrđi,1251,hear
lofa,1247,promise
David,1246,David
dķ,1246,dķ
vinstri,1244,left
börnin,1242,the children
tökum,1241,let's take
kaupa,1240,purchase/buy
berjast,1238,fight
senda,1237,send
hægri,1236,right
Frank,1234,Frank
sjáum,1233,take care
númer,1230,number
stķr,1229,big
mat,1228,appreciation/food
ennūá,1225,still
fķlki,1224,nation
vinnu,1215,work
vandamál,1212,puzzle
einhvers,1211,something
herrar,1210,gentlemen
önnur,1204,another
fjandanum,1202,damn it/fucked
niđri,1200,down
bænum,1200,town
látum,1199,reception
gær,1198,yesterday
Charlie,1197,Charlie
viljiđ,1196,willingness
sitt,1194,long
rangt,1193,wrong
ætli,1193,guess/intend/suppose
hringdi,1193,called/call/ring
fyrstu,1193,first
mķđir,1189,march
framan,1188,in front of
Michael,1187,Michael
missa,1187,loose
áhuga,1184,interest
gķđu,1183,go
hitti,1181,met
lesa,1180,read
hjálpađ,1180,help
haft,1174,have
leika,1174,perform
getađ,1173,capability
þín,1172,your
bíl,1171,car
næstu,1170,next
fundiđ,1170,meeting
hringdu,1169,call
leiđinni,1169,the way
mķti,1167,sort
dagur,1164,day
dauđur,1163,dead
datt,1162,fell
hljķmar,1161,sound
þessi,1160,this/this one
hitt,1159,the other
ūrjú,1158,Christmas
litli,1157,small
ūann,1156,you
mörg,1150,many
einhverju,1148,something
takiđ,1148,take
þinn,1145,your
læknir,1145,doctor
hjarta,1139,heart
manns,1139,man
nokkra,1139,a few
pér,1138,per
konar,1134,kind
ūessir,1133,these
hætti,1130,quit
fréttir,1128,news
bestu,1127,the best
bađ,1126,town
barniđ,1123,child
tímann,1120,time
drap,1119,killed
fjölskyldu,1116,family
herbergi,1116,room
Sam,1115,Sam
munu,1114,will
spila,1113,play
beđiđ,1111,bear
ķtrúlegt,1105,mad
snũst,1103,turning
heyri,1103,hear
náđu,1102,recovered
hús,1099,house
trúa,1098,believe
höldum,1098,hold
ást,1094,love
biđ,1094,both
innan,1092,inside
getiđ,1091,potential
ūurfa,1090,asy
stelpa,1088,girl
þær,1088,then it's
hendur,1087,hands
hinum,1086,the other
starf,1085,business
George,1085,George
drekka,1085,drink
húsinu,1084,the house
heiminum,1083,world
čg,1082,čg
finnur,1082,finds
leggja,1077,lay
dyrnar,1071,door
fangelsi,1070,prison
mánuđi,1070,month
fari,1070,travel
frændi,1068,cousin
ofan,1067,above
færi,1066,fishing line
farðu,1064,go away
borđ,1063,drilling
síđustu,1063,press
eini,1062,only
öđru,1061,other
unniđ,1057,work
fyndiđ,1056,find
vatn,1055,water
hrifinn,1055,fond
allra,1053,everyones
rétta,1053,straighten
nũtt,1051,enjoyed
hata,1049,hate
Tom,1048,Tom
finnum,1048,find
alvara,1044,serious
drengur,1043,boy
réttu,1040,stretch
enda,1036,finish
besti,1034,best
ūurfti,1034,needed
gefiđ,1034,give
stelpur,1032,girls
Mike,1031,Mike
lifandi,1028,vivid
tveimur,1026,two
virđi,1025,worth
reyni,1024,try
gleymdu,1023,forget
kynnast,1022,become familiar/acquaint
bíđiđ,1022,Wait
krakkar,1019,kids
sleppa,1018,drop
komist,1018,being
verð,1018,rate
bæđi,1017,town
systir,1017,sister
velkomin,1015,welcome
nũ,1014,now
komið,1009,come
níu,1009,nine
fljķtt,1009,quick
sinnum,1006,times
nákvæmlega,1006,exactly
vildir,1006,wild
stund,1005,point
læra,1004,study
líst,1004,probably
opna,1003,open
skaltu,1001,please
ūarftu,1001,all
biđja,1000,bear
svara,999,answer
vann,998,won
sástu,995,did you see
virkar,990,works
ūarfnast,989,needed/zero
gamall,987,old
skipta,983,part
sũndu,982,studied
fleira,981,more
vitiđ,981,know
hrædd,979,scared
tiI,979,TII
hjálpađu,978,help me
afar,978,really
Drottinn,975,Lord
seint,973,late
stjķrn,972,star
fķlkiđ,972,phrase
drepiđ,969,kill
nokkrum,969,a few
mikil,967,great
missti,966,dropped
lögreglan,965,the police
augun,960,the eyes
heyrirđu,959,hear
g,958,g
væru,958,would be
dáinn,956,deceased
fékkstu,956,did you get
nafni,953,name
opnađu,952,open
systur,950,sisters
Eg,949,Me/I
dansa,949,dance
marga,949,many
bak,947,back
byssu,947,gun
margar,944,many
gefur,944,gives
gleyma,933,forget
næ,932,get
sérđ,931,see
ber,931,berry
stađinn,929,pole
greiđa,929,keep
míns,928,mine
ūrjár,926,spring
kaffi,925,coffee
einhverjum,920,somebody
hratt,919,raw
leyfi,917,permission
bera,916,endure
neinn,915,any
gamli,915,old
mikill,914,much
verđiđ,914,worth
niður,912,down
sakna,912,miss
ansi,912,foremost
finndu,910,find
þakka,910,thank
hjálpar,910,helps
Joe,909,Joe
né,909,nor
ári,909,demon
mķđur,907,mare
sjálf,906,ourselves
aō,905,oh
Paul,905,Paul
dömur,905,ladies
sannarlega,902,truly
Ben,902,Ben
snúa,901,twist
komu,899,came
mikið,897,much
sömu,897,same
dķttur,897,buried
sögu,896,story
elskar,895,loves
leit,895,search
stattu,894,stand
bũr,893,buoy
ūínar,893,yours
hætt,889,stop
náđ,889,completed
einum,888,single
litlu,888,little
gaur,884,dude
heimi,883,world
manninn,882,man
aftan,882,rear
mark,881,point
giftast,880,marry
Henry,880,Henry
velkominn,878,welcome
hverjir,877,who
komstu,871,did you come
munt,871,will
verk,868,business
sín,864,its
komi,862,visiting
ā,861,ā
nokkrar,859,a few
guð,858,God
efni,856,stuff
tíminn,856,time
yđar,855,YES
stađur,854,stick
flytja,852,relocate
selja,852,sell
farið,851,gone
vin,851,friend
raun,851,affliction
hin,849,the others
leikur,849,performance
fylgja,848,escort
farin,847,gone
fullt,846,full
mundu,845,remember
reynt,844,tried
mikla,843,much
loksins,843,finally
munum,843,remember
ūínir,842,you
færa,842,bring
land,842,land
Harry,842,Harry
áætlun,841,estimate
hugsađu,841,think
sjálfan,838,self
fætur,838,feet
degi,838,day
stúlka,838,a girl
drykk,837,drink
sumir,837,some
leik,836,game
vikur,834,weeks
komnir,834,come
breyta,833,vary
ūrjá,833,jer
hingað,832,here
friđi,831,free
hönd,830,hand
augu,829,eyes
megin,829,cross
brķđur,827,violation
ađrir,827,eager
góður,825,good
afsökunar,825,apology
verðum,823,must
fyrirgefðu,822,sorry
talađu,822,talk
hættiđ,822,manner
manna,822,man
reynir,821,tries
gengiđ,820,rate
geriđ,817,framed
sambandi,814,relationship
kynna,814,present
heitt,812,hot
hefði,811,would have
skildi,811,shoot
lífinu,808,life
trúir,808,believes
kvöldiđ,807,evening
æ,806,ever
síđast,805,here
mönnum,805,men
meinarđu,804,harm
ástin,802,Love
þessa,801,this
bíđur,801,Awaiting
sannleikann,801,the truth
skál,798,toast
sitja,797,sit
skyldi,795,should
byrjar,794,starts
stķra,794,stumble
sínu,791,of its own
pig,791,pig
komumst,790,people
ķvart,790,ķ
líkt,789,like
nærri,789,closely
mikilvægt,788,important
hrifin,788,flicry
heimili,788,home
löngu,787,long
skalt,786,shall
vinn,785,win
hvađan,785,where
sekúndur,784,seconds
slíkt,783,stuff
drepur,782,kill
auđvelt,781,easy
konuna,780,woman
áður,779,formerly
byrjum,779,start
son,778,son
sumt,778,some
öđruvísi,777,misize
dķttir,776,days
eigiđ,775,can't
foreldrar,774,parents
hluta,771,part
slakađu,770,relaxed
gærkvöldi,769,last night
huga,766,mind
sanna,765,prove
Nick,762,Nick
vissir,762,conscious
mætti,762,power
engum,760,nothing
fjögur,758,four
hinir,758,the others
Kate,756,Kate
dögum,754,days
drep,753,kill
aðeins,753,only
gættu,751,guard
sjálfum,751,self
símann,749,phone
gætu,748,could
viti,747,lighthouse
Billy,745,Billly
drífum,744,drive
skođa,744,view
James,744,James
byssuna,743,gun
athuga,743,observe
náum,743,neighbor
dala,743,valley
gerst,743,happened
elta,742,follow
talađi,741,speak
orđinn,741,word
nafniđ,740,name
Bob,740,BB
gerðu,739,make
ķttast,736,ķTa
velja,736,dial
lag,735,song
kjaftæđi,735,shock
Gjörđu,735,Did
gerđirđu,734,Gerđirđu
lést,734,died
tilbúnir,734,ready
passađu,734,fit
Dave,733,Dave
vænt,732,expected
snerta,732,touch
vernda,731,protect
dalir,730,valley
ūátt,729,yeah
náungi,726,guy
ljķs,726,ljķs
fólk,724,folk
fulltrúi,724,delegate
Eddie,723,Eddie
áriđ,721,year
the,720,the
segðu,717,say
gef,717,donate
ráđ,715,counsel
sver,714,swore
höfuđiđ,713,head
spurning,711,question
Alex,711,Alex
hausinn,711,head
ūremur,710,except
liđiđ,708,licess
spurningar,707,questions
tölum,707,figure
gleymdi,706,forgot
hvao,706,what
fallega,706,beautifully
vanda,705,problem
verkefni,703,project
ágætt,702,okay
fljķtur,701,quick
Ray,700,Ray
bũst,698,b -
kallar,698,calls
hina,697,the other
guđs,696,god
merki,695,signal
dauđa,695,dead
eigi,695,has
leyfa,695,let
heyrir,694,hear
eignast,694,acquire
verða,693,become
gjöf,692,presentation
stķrt,691,support
sendu,691,send
mörgum,690,many
mæta,689,meet
afi,688,grandfather
séum,688,be
stað,687,place
ferđu,687,travel
sent,686,send
guđi,684,god
laga,683,fix
hittumst,682,let's meet
nokkurn,682,some
upplũsingar,682,information
liggur,680,lies
tapa,679,lose
gömul,679,old
vilji,679,will
annað,677,other
samkvæmt,677,according to
skaut,676,lap
aIIt,675,aiit
áttir,675,direction
Tommy,675,Tom
fáiđ,673,receive
skilabođ,673,message
engir,672,none
heimurinn,672,the world
sök,671,fault
loka,670,latch
snemma,670,early
sammála,669,agree
leið,669,approach
sárt,667,wounded
ūíns,667,you
sũnist,666,illust
bíllinn,666,car
ráđa,666,instruments
hendurnar,666,hands
asni,666,donkey
árás,665,attack
séð,664,seen
amma,664,grandmother
endilega,664,preferably
orđin,663,word
stúlku,662,girl
milljķnir,661,millions
hvaða,660,which
keypti,660,bought
hátign,660,cease
hættir,657,stops
ánægđur,657,satisfied
hæđ,656,hi
Jones,656,Jones
eruð,654,feature
stöđva,653,stop
deyr,652,dies
greinilega,652,obviously
lítill,652,little
ræđur,652,ticket
tvisvar,650,twice
fífl,650,idiot
spurđi,650,inquire
lifir,648,live
setti,647,put
megum,647,can
fķru,647,equip
bjķr,646,be
minnar,646,mine
nálgast,646,approach
Max,645,Max
fylgjast,645,follow
horfđu,645,looked
hringt,644,call
fljúga,643,fly
andskotans,643,deviation
bķk,642,bķ
Ó,642,Oh
svæđi,641,aneemia
vopn,641,arms
hugsađ,640,think
lengra,638,further
meo,638,meo
seyđi,638,sec
gætirđu,637,could
segjum,637,Let's say
langađi,636,long
nũju,636,nostlid
Johnny,635,Johnny
stķđ,635,support
pví,635,with
áhrif,635,influence
rķleg,635,audible
lof,634,commendation
trú,633,belief
vissirđu,633,did you know
gerirđu,633,makes you
passa,632,fit
fjķrir,632,distance
einhverja,632,some
smástund,631,little while
Halló,630,Hello
ljúga,629,deceive
jafn,628,equal
kringum,628,around
verra,628,worse
hvíta,628,white
loft,627,air
klára,626,complete
þessum,626,these
gķđar,625,god
skot,624,shot
Mary,624,Mary
vissulega,624,certainly
herinn,623,army
sést,623,notice
fór,623,went
las,622,recover
viõ,622,We
landi,622,land
ūoli,622,ūoli
sennilega,621,probably
fyrsti,620,first
spyr,619,ask
stela,619,steal
ævi,618,life
sett,618,set
tķnlist,618,examination
laus,617,detachable
gleđur,616,glare
breytt,615,changed
kæmi,615,would come
þitt,614,your
leiđin,614,tide
fundum,614,meet
ūekkirđu,614,ūekirđu
bæ,614,bye
seinn,613,late
sást,613,are seen
þeirra,612,their
ūriđja,612,year
vitni,612,witness
Bill,611,Bill
sæktu,611,Look
stelpu,610,girl
gerði,609,did
tveggja,609,two
k,609,k
Jimmy,607,Jimmy
dollara,607,dollar
saga,607,tale
föt,606,clothing
Žice,606,Žice
fékkst,605,got
hefurðu,605,do you have
getir,604,capable
borgar,604,pays
segist,604,sore
lögga,604,cop
Rippađ,603,Rippre
blķđ,600,page
gerđum,599,brother
ríđa,598,rise
stoltur,597,proud
eyđa,596,destroy
Hamingjan,594,Happiness
valdi,593,chose
Washington,593,Washington
höndum,593,load
skķlanum,592,ski
húsi,592,house
áttum,591,wish
sérstaklega,591,especially
höndina,590,hand
augum,590,eye
Anna,589,Anna
notađ,588,use
sendir,588,send
hrađar,588,speed
hvorki,588,neither
treysta,587,trust
skila,585,return
bréf,585,correspondence
Peter,584,Peter
Jim,584,Jim
vinnuna,584,work
skķla,584,possess
algjör,583,complete
hlauptu,582,run
ofursti,582,colonel
bæta,581,patch
keyra,581,drive
hittir,579,meet
rúmiđ,578,bit
kjafti,578,cast
neinu,577,anything
samūykkt,576,the same
sũnir,576,sensual
lítil,576,small
skemmta,576,entertain
vid,575,we
fast,574,solid
fjölskylda,574,family
ūekkja,574,yokka
viđbķt,573,viđbķt
kostar,572,costs
reiđur,572,tranter
metra,572,meter
stjķrna,571,star
lík,571,corpse
anda,571,breathe
skjķttu,571,shaved
manneskja,570,character
myndu,570,would
Richard,570,Richard
stríđ,569,tendency
rassinn,568,assposed
tík,568,bitch
ađstođ,567,ađstođ
ūaõ,565,ūaõ
kallast,564,called
mest,564,most
rétti,564,court
Iagi,564,Strain
svarađu,563,reply
drífa,563,not
ūinnar,560,its
treysti,559,trust
sætt,559,cute
draga,559,pull
háriđ,558,hair
hiđ,557,here
auðvitað,557,of course
vandræđum,556,trouble
skotiđ,556,shot
minnst,555,least
veginn,554,weigh
einni,554,single
værum,554,would
heiminn,554,world
eilífu,554,forever
bjķ,553,live
flũttu,553,flip
suđur,552,south
fljķtlega,551,quickly
stjķri,551,star
sinna,551,take care of
jķl,550,jķl
virđingu,550,respect
vitađ,549,know
virtist,548,seemed
stöđu,548,stand
segiđ,547,say
hverja,547,who
andartak,547,instant
borgađ,547,pay
sjáðu,546,see
borg,546,city
fķrst,545,before
stúlkan,545,the girl
heppinn,545,lucky
bođiđ,545,offer
Chris,543,Chris
hverfa,542,vanish
morđ,541,mour
hugsar,540,thinks
algjörlega,540,quite
snúđu,540,spin
Amy,539,Amy
Martin,539,Martin
hlaupa,539,run
hins,539,on
heitirđu,539,called
međal,538,med
dáin,538,dead
vi,538,we
drífđu,537,engines
báđir,537,both
norđur,536,northern
kalt,535,cold
þennan,534,this
losna,532,release
forseti,532,president
fullkomiđ,531,perfect
syngja,531,sing
Matt,531,Matt
Heyrðu,531,listen
fela,531,hide
hvor,530,which
muna,530,remember
vara,530,abide
þína,530,your
éta,529,eat
lít,529,colour
skrifađi,528,written
sögđu,527,said
hugsađi,527,think
hliđ,527,side
peningar,526,money
minnsta,526,least
misst,526,lose
bráđum,526,soon
